ID,title,subtitle,author,publisher,first_published_year,language,cover_image,pages,rating,isbn_10,isbn_13
OL18417W,Wonderful Wizard of Oz,A Fantasy -- Modern Fairy Tale,L. Frank Baum,Independently Published,           1899         ,English,/images/icons/avatar_book.png,,3.9 (108 ratings),,9798686112667
OL59856W,"Orsinia: Malafrena, Orsinian Tales (Fantasy Masterworks)",,Ursula K. Le Guin,GOLLANCZ,           1976         ,,//covers.openlibrary.org/b/id/8436177-M.jpg,,5.0 (1 rating),1473212065,
OL30502064W,Mysterious Fantasy Book. vol 2,"Fantasy, Fantasy Book Series, Fantasy Book Box",Gucio Tulipan,Independently Published,           2019         ,English,/images/icons/avatar_book.png,,,,9781711822402
OL19690645W,Fantasy variations,for piano solo,George Perle,Galaxy Music Corp.,           1991         ,,/images/icons/avatar_book.png,17,,,
OL22407377W,Lisa Kereszi,Fantasies,Lynne Tillman,Damiani,           2008         ,English,//covers.openlibrary.org/b/id/3336992-M.jpg,96,,8862080298,
OL19753579W,Blackwing,,"McDonald, Ed (Fantasy fiction author)",,           2017         ,English,/images/icons/avatar_book.png,360,3.3 (3 ratings),0399587799,
OL25475769W,Diabetes Tagebuch,"Lesen Buch Film Serien Fantasy Magie Geschenke Typ 1 and Typ 2, 120 Seiten, 59 Wochen, 6X9 , Blutzuckertagebuch, Hypertonietagebuch",Carl Simpson,Independently Published,           2020         ,German,/images/icons/avatar_book.png,,,,9798648264236
OL20026W,Phantoms and fantasies,20 tales.,Rudyard Kipling,Doubleday,           1965         ,English,//covers.openlibrary.org/b/id/9467358-M.jpg,302,,,
OL15121861W,Unzipped,Tantalizing\His Every Fantasy\Playmates (Harlequin Romance),Crystal Green,Harlequin,           2005         ,English,//covers.openlibrary.org/b/id/222117-M.jpg,480,3.5 (4 ratings),0373836783,
OL30440386W,Fantasy!,Coloring Book,Hill (Undifferentiated),Independently Published,           2020         ,English,/images/icons/avatar_book.png,,,,9798623332653
OL39809932W,Fantasy Tales - Chloe's Fantasy - Gangbang,,Casey Bagnell,Smashwords,           2011         ,English,/images/icons/avatar_book.png,,,,9781465813114
OL30934251W,Fantasy,Short Stories to Excite,Tiffini Johnson,CreateSpace Independent Publishing Platform,           2016         ,English,/images/icons/avatar_book.png,124,,,9781532826979
OL15200016W,Fantasy Sketchbook.,,"Hart, Christopher.",Sterling,           2007         ,English,/images/icons/avatar_book.png,,,1933027339,
OL733144W,My Secret Garden,Women's Sexual Fantasies,Nancy Friday,Pocket,           1973         ,English,//covers.openlibrary.org/b/id/9781252-M.jpg,,3.8 (8 ratings),0671834746,
OL19940304W,Brendels Fantasie,Roman,Günther Freitag,Edition Elke Heidenreich bei C. Bertelsmann,           2009         ,German,/images/icons/avatar_book.png,189,,3570580032,
OL12131211W,Fantasies líriques,poemes.,Jaume Térmens Mauri,,           1966         ,Catalan,/images/icons/avatar_book.png,44,,,
OL8906136W,Avatars of Kelsnov Adventure Pack (Runebound),,Fantasy Flight Games,Fantasy Flight Games,           2006         ,English,/images/icons/avatar_book.png,,,1589943171,
OL2700629W,Jimbo,a fantasy,Algernon Blackwood,The Macmillan company,           1909         ,English,//covers.openlibrary.org/b/id/7151894-M.jpg,225,4.0 (1 rating),,
OL19692741W,Fantasy for piano,,Emma Lou Diemer,Plymouth Music Co.,           1993         ,,/images/icons/avatar_book.png,23,,,
